Season,DayDate,Date,HomeTeam,Score,HomeGoal,AwayGoal,FTResult,AwayTeam,Over2.5,TotalGoals,BTTS,WinMargin
2023,Mo 31 Jul,31/7/2023,Lion City ,5 - 2,5,2,H, Khalsa,+,7,+,3
2023,Th 3 Aug,3/8/2023,Geylang ,1 - 6,1,6,A, A. Niigata (S),+,7,+,5
2023,Fr 4 Aug,4/8/2023,Hougang ,1 - 0,1,0,H, DPMM FC,-,1,-,1
2023,Fr 4 Aug,4/8/2023,Tampines Rovers ,2 - 5,2,5,A, Lion City,+,7,+,3
2023,Sa 5 Aug,5/8/2023,Tanjong Pagar ,3 - 2,3,2,H, Young Lions,+,5,+,1
2023,Fr 11 Aug,11/8/2023,Tanjong Pagar ,2 - 3,2,3,A, A. Niigata (S),+,5,+,1
2023,Sa 12 Aug,12/8/2023,Geylang ,2 - 6,2,6,A, Khalsa,+,8,+,4
2023,Sa 12 Aug,12/8/2023,Young Lions ,0 - 2,0,2,A, DPMM FC,-,2,-,2
2023,Su 13 Aug,13/8/2023,Hougang ,2 - 8,2,8,A, Lion City,+,10,+,6
2023,Fr 18 Aug,18/8/2023,Tampines Rovers ,2 - 2,2,2,D, DPMM FC,+,4,+,0
2023,Sa 19 Aug,19/8/2023,Geylang ,3 - 0,3,0,H, Young Lions,+,3,-,3
2023,Sa 19 Aug,19/8/2023,Hougang ,3 - 3,3,3,D, Tanjong Pagar,+,6,+,0
2023,Su 20 Aug,20/8/2023,Khalsa ,1 - 5,1,5,A, A. Niigata (S),+,6,+,4
